sym_a,sym_b,side,entry_idx,exit_idx,holding_bars,pnl,fold_id,weight
GOOG,GOOGL,1.0,2017-06-27 17:00:00+00:00,2017-06-29 15:00:00+00:00,22,0.00039746240509790087,0,0.05
GOOG,GOOGL,1.0,2017-07-03 13:30:00+00:00,2017-07-13 17:00:00+00:00,93,-0.0009934092816767121,0,0.05
GOOG,GOOGL,-1.0,2017-07-24 14:00:00+00:00,2017-08-04 15:00:00+00:00,119,-0.0012959211320542744,0,0.05
GOOG,GOOGL,-1.0,2017-08-22 13:30:00+00:00,2017-08-23 13:30:00+00:00,13,0.0008064614178573976,0,0.05
JNJ,PM,1.0,2017-08-29 13:30:00+00:00,2017-08-29 19:30:00+00:00,12,0.0015429003565801068,0,0.05
JPM,USB,-1.0,2017-06-22 13:30:00+00:00,2017-07-14 14:00:00+00:00,191,-0.019212827389910557,0,0.05
JPM,USB,1.0,2017-07-20 13:30:00+00:00,2017-07-26 19:30:00+00:00,64,0.00589925262397655,0,0.05
JPM,USB,-1.0,2017-08-23 14:30:00+00:00,2017-08-28 13:30:00+00:00,37,0.0016137770509448471,0,0.05
BP,UPS,-1.0,2017-07-27 15:00:00+00:00,2017-08-01 13:30:00+00:00,36,-0.001239794800302417,0,0.05
BP,UPS,-1.0,2017-08-01 14:00:00+00:00,2017-08-01 14:30:00+00:00,1,-0.002234807262927561,0,0.05
BP,UPS,-1.0,2017-08-01 15:00:00+00:00,2017-08-10 13:30:00+00:00,88,0.0020121439254144505,0,0.05
HON,MCD,-1.0,2017-07-21 14:30:00+00:00,2017-07-25 14:00:00+00:00,25,-0.0063262876774769165,0,0.05
HON,MCD,-1.0,2017-08-04 13:30:00+00:00,2017-08-09 14:00:00+00:00,40,0.0002297867286572947,0,0.05
PYPL,TSM,-1.0,2017-06-27 13:30:00+00:00,2017-07-26 14:30:00+00:00,257,-0.004004497690461977,0,0.05
BP,TXN,-1.0,2017-08-01 13:30:00+00:00,2017-08-01 14:00:00+00:00,1,-0.003032936077917521,0,0.05
BP,TXN,-1.0,2017-08-01 14:30:00+00:00,2017-08-01 15:00:00+00:00,1,0.005128862395755118,0,0.05
BP,TXN,-1.0,2017-08-01 15:30:00+00:00,2017-08-01 16:30:00+00:00,2,-0.002059173916473876,0,0.05
BP,TXN,-1.0,2017-08-01 17:00:00+00:00,2017-08-10 14:00:00+00:00,85,0.0008947719410520682,0,0.05
COST,HD,-1.0,2017-08-01 13:30:00+00:00,2017-08-04 15:30:00+00:00,43,0.006250461950202093,0,0.05
ACN,V,1.0,2017-08-17 13:30:00+00:00,2017-08-25 13:30:00+00:00,78,0.0013952637383986917,0,0.05
BP,JPM,-1.0,2017-08-01 13:30:00+00:00,2017-08-01 14:00:00+00:00,1,-0.0028989457562781495,0,0.05
BP,JPM,-1.0,2017-08-01 14:30:00+00:00,2017-08-10 14:00:00+00:00,90,0.006571086452947583,0,0.05
BP,GOOG,1.0,2017-07-24 14:30:00+00:00,2017-07-25 15:00:00+00:00,14,0.0027570955501226963,0,0.05
BP,GOOG,-1.0,2017-08-01 13:30:00+00:00,2017-08-01 14:00:00+00:00,1,-0.002613054410260365,0,0.05
BP,GOOG,-1.0,2017-08-01 14:30:00+00:00,2017-08-01 15:00:00+00:00,1,0.00464385164551516,0,0.05
BP,GOOG,-1.0,2017-08-01 15:30:00+00:00,2017-08-10 16:00:00+00:00,92,0.0011126025817127056,0,0.05
BP,V,-1.0,2017-08-01 13:30:00+00:00,2017-08-01 14:00:00+00:00,1,-0.0029259700538582485,0,0.05
BP,V,-1.0,2017-08-01 14:30:00+00:00,2017-08-01 15:00:00+00:00,1,0.005999573528615509,0,0.05
BP,V,-1.0,2017-08-01 15:30:00+00:00,2017-08-10 14:00:00+00:00,88,-0.001529155868297701,0,0.05
COST,HON,-1.0,2017-07-31 19:30:00+00:00,2017-08-03 19:00:00+00:00,38,0.012754299681604735,0,0.05
COST,HON,1.0,2017-08-24 19:00:00+00:00,2017-08-29 19:30:00+00:00,40,0.008947383324042558,0,0.05
MMM,ORCL,1.0,2017-06-22 13:30:00+00:00,2017-06-22 14:00:00+00:00,1,0.0009490489118228304,0,0.05
MMM,ORCL,1.0,2017-06-22 14:30:00+00:00,2017-06-22 15:00:00+00:00,1,0.0011122628381583445,0,0.05
MMM,ORCL,1.0,2017-06-22 15:30:00+00:00,2017-07-03 13:30:00+00:00,87,0.001563532650748037,0,0.05
MMM,ORCL,1.0,2017-07-19 14:00:00+00:00,2017-07-20 13:30:00+00:00,12,0.0011563679486645845,0,0.05
MMM,ORCL,1.0,2017-07-21 14:30:00+00:00,2017-07-25 13:30:00+00:00,24,0.003633960557181393,0,0.05
MMM,ORCL,1.0,2017-07-25 14:00:00+00:00,2017-07-25 14:30:00+00:00,1,-0.004948831616479185,0,0.05
MMM,ORCL,1.0,2017-07-25 15:00:00+00:00,2017-07-25 15:30:00+00:00,1,-0.0008933338159160977,0,0.05
MMM,ORCL,1.0,2017-07-25 16:00:00+00:00,2017-07-31 17:00:00+00:00,54,0.00530025414500702,0,0.05
MMM,ORCL,1.0,2017-08-23 13:30:00+00:00,2017-08-29 19:30:00+00:00,64,-0.005380800675364188,0,0.05
ADBE,PYPL,1.0,2017-07-05 17:30:00+00:00,2017-07-26 15:30:00+00:00,191,0.010803613506948785,0,0.05
ADBE,PYPL,1.0,2017-07-27 19:00:00+00:00,2017-08-03 16:00:00+00:00,59,0.016843247931430758,0,0.05
ACN,PYPL,1.0,2017-08-17 19:30:00+00:00,2017-08-25 13:30:00+00:00,66,0.002680024700852082,0,0.05
FDX,JPM,1.0,2017-07-19 14:00:00+00:00,2017-08-14 18:00:00+00:00,242,0.005421380419797863,0,0.05
FDX,JPM,-1.0,2017-08-29 15:30:00+00:00,2017-08-29 19:30:00+00:00,8,-0.001498567531374525,0,0.05
KO,PEP,1.0,2017-11-15 16:30:00+00:00,2017-11-17 14:30:00+00:00,22,-0.002266947883315851,1,0.05
KO,PEP,1.0,2017-11-17 15:00:00+00:00,2017-11-17 15:30:00+00:00,1,-0.0012879925102288272,1,0.05
KO,PEP,1.0,2017-11-17 16:00:00+00:00,2017-11-17 16:30:00+00:00,1,-0.003545910462263347,1,0.05
KO,PEP,1.0,2017-11-17 17:00:00+00:00,2017-11-17 17:30:00+00:00,1,0.0009447429558006007,1,0.05
KO,PEP,1.0,2017-11-17 18:00:00+00:00,2017-11-17 18:30:00+00:00,1,-0.0014384774811372397,1,0.05
KO,PEP,1.0,2017-11-17 19:00:00+00:00,2017-11-17 19:30:00+00:00,1,-1.4048314404305987e-05,1,0.05
KO,PEP,1.0,2017-11-17 20:00:00+00:00,2017-11-20 14:30:00+00:00,2,0.00023815510027029823,1,0.05
KO,PEP,1.0,2017-11-20 15:00:00+00:00,2017-11-28 20:30:00+00:00,71,-0.0034731218767124093,1,0.05
ADBE,V,1.0,2017-10-16 18:00:00+00:00,2017-10-18 15:30:00+00:00,21,0.014117286098259378,1,0.05
ADBE,V,-1.0,2017-10-19 13:30:00+00:00,2017-10-19 14:00:00+00:00,1,-0.00027705685878309794,1,0.05
ADBE,V,-1.0,2017-10-19 14:30:00+00:00,2017-10-19 15:00:00+00:00,1,-0.0038197317399956735,1,0.05
ADBE,V,-1.0,2017-10-19 15:30:00+00:00,2017-10-19 16:00:00+00:00,1,-0.001778672344909857,1,0.05
ADBE,V,-1.0,2017-10-19 16:30:00+00:00,2017-10-19 17:00:00+00:00,1,-0.0004660441706411232,1,0.05
ADBE,V,-1.0,2017-10-19 17:30:00+00:00,2017-10-19 18:00:00+00:00,1,-0.004289965273582149,1,0.05
ADBE,V,-1.0,2017-10-19 18:30:00+00:00,2017-10-19 19:00:00+00:00,1,-0.0007129305900466668,1,0.05
ADBE,V,-1.0,2017-10-19 19:30:00+00:00,2017-10-20 13:30:00+00:00,1,-0.001,1,0.05
ADBE,V,-1.0,2017-10-20 14:00:00+00:00,2017-10-20 14:30:00+00:00,1,-0.0019558666340009695,1,0.05
ADBE,V,-1.0,2017-10-20 15:00:00+00:00,2017-11-06 19:00:00+00:00,149,-0.0030132578187823575,1,0.05
ADBE,V,-1.0,2017-11-17 16:00:00+00:00,2017-11-24 16:30:00+00:00,53,-0.0028601517190703627,1,0.05
ACN,MSFT,-1.0,2017-10-25 17:30:00+00:00,2017-10-27 14:30:00+00:00,20,-0.004018268826989871,1,0.05
ACN,MSFT,-1.0,2017-11-16 16:30:00+00:00,2017-11-28 20:30:00+00:00,94,-0.009521310629055197,1,0.05
PEP,WMT,1.0,2017-10-03 14:30:00+00:00,2017-11-09 14:30:00+00:00,349,-0.017143289909465502,1,0.05
PEP,WMT,1.0,2017-11-16 18:30:00+00:00,2017-11-27 16:30:00+00:00,69,0.0003882530231805643,1,0.05
KO,WMT,1.0,2017-09-27 16:30:00+00:00,2017-09-29 14:30:00+00:00,22,0.002824241389252568,1,0.05
KO,WMT,1.0,2017-10-10 13:30:00+00:00,2017-10-16 14:30:00+00:00,54,-0.00573486450625859,1,0.05
KO,WMT,1.0,2017-10-23 18:00:00+00:00,2017-10-30 14:00:00+00:00,57,0.000635465010881874,1,0.05
KO,WMT,1.0,2017-11-06 16:30:00+00:00,2017-11-08 14:30:00+00:00,22,0.005703846291458739,1,0.05
KO,WMT,-1.0,2017-11-14 16:30:00+00:00,2017-11-16 15:00:00+00:00,23,0.0044934539644087175,1,0.05
KO,WMT,1.0,2017-11-16 15:30:00+00:00,2017-11-28 15:00:00+00:00,85,-0.008158718167074322,1,0.05
GOOG,HON,-1.0,2017-10-27 13:30:00+00:00,2017-11-13 18:00:00+00:00,150,-0.004689949362966737,1,0.05
BA,LMT,1.0,2017-10-09 16:00:00+00:00,2017-10-18 13:30:00+00:00,86,-0.0013949632123344427,1,0.05
BA,LMT,-1.0,2017-10-24 13:30:00+00:00,2017-10-24 14:00:00+00:00,1,-0.0030607321782260507,1,0.05
BA,LMT,-1.0,2017-10-24 14:30:00+00:00,2017-10-24 15:00:00+00:00,1,-0.004563941316329822,1,0.05
BA,LMT,-1.0,2017-10-24 15:30:00+00:00,2017-10-24 16:00:00+00:00,1,0.0004721938489457133,1,0.05
BA,LMT,-1.0,2017-10-24 16:30:00+00:00,2017-10-24 17:00:00+00:00,1,-0.0030382797794378173,1,0.05
BA,LMT,-1.0,2017-10-24 17:30:00+00:00,2017-11-07 20:30:00+00:00,134,-0.003870740214900821,1,0.05
BA,LMT,1.0,2017-11-21 17:30:00+00:00,2017-11-28 20:30:00+00:00,53,-0.0029302029102406557,1,0.05
ACN,FDX,1.0,2017-09-29 15:00:00+00:00,2017-10-05 15:00:00+00:00,52,0.005473902365639584,1,0.05
ACN,FDX,-1.0,2017-11-06 15:30:00+00:00,2017-11-28 20:30:00+00:00,200,-0.03148245841653981,1,0.05
FDX,LMT,-1.0,2017-10-26 14:00:00+00:00,2017-11-06 14:30:00+00:00,90,0.0021925364347753114,1,0.05
ACN,MMM,1.0,2017-10-24 14:30:00+00:00,2017-10-26 13:30:00+00:00,24,0.00902540586356788,1,0.05
MA,MCD,1.0,2017-10-19 16:00:00+00:00,2017-10-23 15:30:00+00:00,25,0.003918818611605148,1,0.05
MA,MCD,-1.0,2017-11-10 14:30:00+00:00,2017-11-14 19:30:00+00:00,36,0.004400186144702389,1,0.05
MA,MCD,-1.0,2017-11-27 14:30:00+00:00,2017-11-28 20:30:00+00:00,25,0.003780079790103459,1,0.05
HON,TSM,-1.0,2017-11-27 14:30:00+00:00,2017-11-27 15:00:00+00:00,1,-0.0006571177905767023,1,0.05
HON,TSM,-1.0,2017-11-27 15:30:00+00:00,2017-11-27 16:00:00+00:00,1,-0.0024984062125912115,1,0.05
HON,TSM,-1.0,2017-11-27 16:30:00+00:00,2017-11-28 14:30:00+00:00,9,-0.0009065208810800258,1,0.05
HON,TSM,-1.0,2017-11-28 15:00:00+00:00,2017-11-28 20:30:00+00:00,11,-0.004802487918301493,1,0.05
MMM,SHW,-1.0,2017-10-23 18:30:00+00:00,2017-10-24 13:30:00+00:00,3,-0.0008783548268933826,1,0.05
MMM,SHW,-1.0,2017-10-24 14:00:00+00:00,2017-10-24 14:30:00+00:00,1,-0.007486127462391408,1,0.05
MMM,SHW,-1.0,2017-10-24 15:00:00+00:00,2017-10-24 15:30:00+00:00,1,-0.0037591035474174345,1,0.05
MMM,SHW,-1.0,2017-10-24 16:00:00+00:00,2017-10-24 16:30:00+00:00,1,-0.002420767338945715,1,0.05
MMM,SHW,-1.0,2017-10-24 17:00:00+00:00,2017-10-24 17:30:00+00:00,1,0.0010881025901568102,1,0.05
MMM,SHW,-1.0,2017-10-24 18:00:00+00:00,2017-10-31 18:30:00+00:00,66,0.02337278649835685,1,0.05
MMM,SHW,-1.0,2017-11-20 14:30:00+00:00,2017-11-20 16:00:00+00:00,3,-0.0033267891904023277,1,0.05
MMM,SHW,-1.0,2017-11-20 16:30:00+00:00,2017-11-24 14:30:00+00:00,35,0.004828921515416553,1,0.05
JPM,PNC,-1.0,2017-10-03 13:30:00+00:00,2017-10-05 13:30:00+00:00,26,-0.0007187601771248487,1,0.05
JPM,PNC,-1.0,2017-11-16 19:30:00+00:00,2017-11-24 16:30:00+00:00,59,0.004311938271131039,1,0.05
PEP,PM,1.0,2017-09-22 17:30:00+00:00,2017-09-28 14:00:00+00:00,45,-0.00018087501790191784,1,0.05
PEP,PM,1.0,2017-10-02 13:30:00+00:00,2017-10-11 14:30:00+00:00,93,-0.005809194206972896,1,0.05
PEP,PM,-1.0,2017-10-19 13:30:00+00:00,2017-10-24 14:30:00+00:00,41,0.005672870182161867,1,0.05
