sym_a,sym_b,side,entry_idx,exit_idx,holding_bars,pnl,fold_id,weight
CCL,RCL,-1.0,2017-06-26 13:30:00+00:00,2017-06-27 14:30:00+00:00,15,0.005263823833881924,0,0.09090909090909091
CCL,RCL,1.0,2017-07-20 13:30:00+00:00,2017-07-28 13:30:00+00:00,78,-0.0061283668652865105,0,0.09090909090909091
CCL,RCL,1.0,2017-08-03 13:30:00+00:00,2017-08-03 14:00:00+00:00,1,-0.004111268998929683,0,0.09090909090909091
CCL,RCL,1.0,2017-08-03 14:30:00+00:00,2017-08-07 13:30:00+00:00,24,-0.0008912272285060325,0,0.09090909090909091
MSFT,TXN,-1.0,2017-06-26 14:30:00+00:00,2017-06-28 16:00:00+00:00,29,0.0014688386165161945,0,0.09090909090909091
MSFT,TXN,-1.0,2017-07-21 13:30:00+00:00,2017-07-21 18:30:00+00:00,10,0.007270752641604709,0,0.09090909090909091
MSFT,TXN,-1.0,2017-07-24 14:30:00+00:00,2017-07-26 15:00:00+00:00,27,-0.005074184125753639,0,0.09090909090909091
MSFT,TXN,1.0,2017-08-08 15:00:00+00:00,2017-08-09 14:00:00+00:00,11,0.008191760005235974,0,0.09090909090909091
BRK.B,AXP,1.0,2017-06-23 17:30:00+00:00,2017-07-05 15:00:00+00:00,81,0.004809679672917901,0,0.09090909090909091
BRK.B,AXP,-1.0,2017-07-27 17:00:00+00:00,2017-08-15 13:30:00+00:00,162,-0.013285947270645212,0,0.09090909090909091
BRK.B,AXP,-1.0,2017-08-22 15:00:00+00:00,2017-08-24 18:00:00+00:00,32,0.0012093401940116836,0,0.09090909090909091
JPM,AXP,-1.0,2017-07-06 17:00:00+00:00,2017-07-12 13:30:00+00:00,45,0.004343552384635404,0,0.09090909090909091
JPM,AXP,1.0,2017-08-15 14:30:00+00:00,2017-08-22 13:30:00+00:00,63,9.810243242370305e-05,0,0.09090909090909091
HON,MMM,1.0,2017-06-16 16:00:00+00:00,2017-06-27 13:30:00+00:00,86,-0.0026186371355085953,0,0.09090909090909091
HON,MMM,-1.0,2017-06-30 14:30:00+00:00,2017-07-11 13:30:00+00:00,71,-0.003197122449691663,0,0.09090909090909091
HON,MMM,1.0,2017-07-20 17:00:00+00:00,2017-07-21 13:30:00+00:00,6,-0.0021388027169111767,0,0.09090909090909091
HON,MMM,-1.0,2017-07-21 14:00:00+00:00,2017-07-21 14:30:00+00:00,1,-0.001814729408561808,0,0.09090909090909091
HON,MMM,-1.0,2017-07-21 15:00:00+00:00,2017-07-25 13:30:00+00:00,23,0.00288362685593319,0,0.09090909090909091
HON,MMM,-1.0,2017-07-25 14:00:00+00:00,2017-07-25 14:30:00+00:00,1,-0.005809895451488262,0,0.09090909090909091
HON,MMM,-1.0,2017-07-25 15:00:00+00:00,2017-07-25 15:30:00+00:00,1,0.0003352853605032627,0,0.09090909090909091
HON,MMM,-1.0,2017-07-25 16:00:00+00:00,2017-08-01 13:30:00+00:00,60,0.0038567661219063897,0,0.09090909090909091
HON,MMM,-1.0,2017-08-23 15:30:00+00:00,2017-08-29 19:30:00+00:00,60,-0.0008636170990262293,0,0.09090909090909091
BAC,AXP,1.0,2017-08-15 16:00:00+00:00,2017-08-16 13:30:00+00:00,8,-0.0025920434613937405,0,0.09090909090909091
BAC,AXP,1.0,2017-08-16 14:00:00+00:00,2017-08-16 14:30:00+00:00,1,-0.0026498969276133617,0,0.09090909090909091
BAC,AXP,1.0,2017-08-16 15:00:00+00:00,2017-08-16 15:30:00+00:00,1,-0.0027478552049113223,0,0.09090909090909091
BAC,AXP,1.0,2017-08-16 16:00:00+00:00,2017-08-22 13:30:00+00:00,47,0.004152318395104522,0,0.09090909090909091
AXP,PNC,-1.0,2017-06-22 17:00:00+00:00,2017-06-29 17:30:00+00:00,66,0.004739628315503324,0,0.09090909090909091
AXP,PNC,-1.0,2017-08-15 17:30:00+00:00,2017-08-22 14:00:00+00:00,58,0.004871887205398559,0,0.09090909090909091
MS,SCHW,-1.0,2017-07-19 13:30:00+00:00,2017-07-19 16:00:00+00:00,5,-0.005464607658149287,0,0.09090909090909091
MS,SCHW,-1.0,2017-07-19 16:30:00+00:00,2017-07-19 17:00:00+00:00,1,-0.002574529502732986,0,0.09090909090909091
MS,SCHW,-1.0,2017-07-19 17:30:00+00:00,2017-07-19 18:30:00+00:00,2,-0.0037694902480348456,0,0.09090909090909091
MS,SCHW,-1.0,2017-07-19 19:00:00+00:00,2017-07-20 13:30:00+00:00,2,-0.0005886258202715822,0,0.09090909090909091
MS,SCHW,-1.0,2017-07-20 14:00:00+00:00,2017-07-31 19:00:00+00:00,101,0.016544552151657378,0,0.09090909090909091
MS,SCHW,-1.0,2017-08-10 16:00:00+00:00,2017-08-29 19:30:00+00:00,176,-0.0013586232251348506,0,0.09090909090909091
AXP,USB,-1.0,2017-06-22 19:00:00+00:00,2017-07-06 14:30:00+00:00,103,0.001925007126496453,0,0.09090909090909091
AXP,USB,-1.0,2017-07-18 14:30:00+00:00,2017-07-19 13:30:00+00:00,11,-0.0016790746411315036,0,0.09090909090909091
AXP,USB,-1.0,2017-08-15 14:30:00+00:00,2017-08-24 14:00:00+00:00,90,0.0017051776405478999,0,0.09090909090909091
CVX,HAL,1.0,2017-07-10 16:30:00+00:00,2017-07-24 13:30:00+00:00,124,-0.01331333302529651,0,0.09090909090909091
CVX,HAL,-1.0,2017-07-28 13:30:00+00:00,2017-08-15 13:30:00+00:00,156,0.004995791454156663,0,0.09090909090909091
UNP,CSX,1.0,2017-07-20 13:30:00+00:00,2017-07-20 16:30:00+00:00,6,0.009570174077955445,0,0.09090909090909091
UNP,CSX,1.0,2017-07-21 15:30:00+00:00,2017-08-08 14:00:00+00:00,153,-0.013727491940950505,0,0.09090909090909091
UNP,CSX,-1.0,2017-08-16 16:00:00+00:00,2017-08-28 18:00:00+00:00,108,0.01976141849731766,0,0.09090909090909091
MS,PNC,1.0,2017-09-20 14:30:00+00:00,2017-09-28 13:30:00+00:00,76,0.004582138154340188,1,0.09090909090909091
MS,PNC,-1.0,2017-10-03 14:00:00+00:00,2017-10-09 17:30:00+00:00,59,-0.003736620216093061,1,0.09090909090909091
MS,PNC,-1.0,2017-10-17 14:00:00+00:00,2017-10-25 13:30:00+00:00,77,0.004572148012505276,1,0.09090909090909091
MS,PNC,1.0,2017-11-01 14:30:00+00:00,2017-11-07 14:30:00+00:00,50,0.0010635119091685508,1,0.09090909090909091
MS,PNC,-1.0,2017-11-21 14:30:00+00:00,2017-11-27 15:30:00+00:00,36,0.0051056608296517255,1,0.09090909090909091
WFC,GS,-1.0,2017-09-19 17:30:00+00:00,2017-09-28 14:00:00+00:00,84,0.0023988178723847887,1,0.09090909090909091
WFC,GS,1.0,2017-10-13 13:30:00+00:00,2017-10-13 14:00:00+00:00,1,-0.004313399132867924,1,0.09090909090909091
WFC,GS,1.0,2017-10-13 14:30:00+00:00,2017-10-20 13:30:00+00:00,63,-0.000326785495857837,1,0.09090909090909091
WFC,GS,1.0,2017-11-09 15:00:00+00:00,2017-11-16 17:30:00+00:00,70,0.016584290564661264,1,0.09090909090909091
WFC,GS,-1.0,2017-11-28 19:00:00+00:00,2017-11-28 20:30:00+00:00,3,-0.004418487674653368,1,0.09090909090909091
SLB,DVN,1.0,2017-09-20 19:00:00+00:00,2017-09-21 13:30:00+00:00,2,0.0005604972079138507,1,0.09090909090909091
SLB,DVN,1.0,2017-09-21 14:00:00+00:00,2017-09-29 16:30:00+00:00,83,0.010480683006814779,1,0.09090909090909091
SLB,DVN,1.0,2017-10-11 13:30:00+00:00,2017-10-20 13:30:00+00:00,91,-0.009697751838894222,1,0.09090909090909091
SLB,DVN,1.0,2017-10-20 14:00:00+00:00,2017-10-20 14:30:00+00:00,1,-0.0006835123809524732,1,0.09090909090909091
SLB,DVN,1.0,2017-10-20 15:00:00+00:00,2017-10-25 17:00:00+00:00,43,0.013583033148358226,1,0.09090909090909091
SLB,DVN,1.0,2017-11-01 15:00:00+00:00,2017-11-06 19:30:00+00:00,46,0.00716056592717983,1,0.09090909090909091
EOG,HAL,-1.0,2017-10-17 13:30:00+00:00,2017-11-09 14:30:00+00:00,221,-0.019542961733029503,1,0.09090909090909091
CCL,RCL,1.0,2017-09-15 16:30:00+00:00,2017-09-20 15:30:00+00:00,37,0.007421625464191025,1,0.09090909090909091
CCL,RCL,1.0,2017-10-31 17:00:00+00:00,2017-11-01 19:00:00+00:00,17,-0.007078970828891652,1,0.09090909090909091
CCL,RCL,1.0,2017-11-01 19:30:00+00:00,2017-11-02 13:30:00+00:00,1,-0.001,1,0.09090909090909091
CCL,RCL,1.0,2017-11-02 14:00:00+00:00,2017-11-02 14:30:00+00:00,1,-0.0026072810374378926,1,0.09090909090909091
CCL,RCL,1.0,2017-11-02 15:00:00+00:00,2017-11-13 14:30:00+00:00,88,0.01583433263622582,1,0.09090909090909091
PBR,DVN,1.0,2017-11-02 15:30:00+00:00,2017-11-21 14:30:00+00:00,165,0.019276077789613422,1,0.09090909090909091
JPM,PNC,-1.0,2017-10-03 13:30:00+00:00,2017-10-05 13:30:00+00:00,26,-0.0007187601771248487,1,0.09090909090909091
JPM,PNC,-1.0,2017-11-16 19:30:00+00:00,2017-11-24 16:30:00+00:00,59,0.004311938271131039,1,0.09090909090909091
MU,TXN,1.0,2017-09-22 14:30:00+00:00,2017-09-29 19:30:00+00:00,75,-0.004624152021601009,1,0.09090909090909091
MU,TXN,1.0,2017-10-12 17:30:00+00:00,2017-10-31 13:30:00+00:00,161,-0.023142264383538315,1,0.09090909090909091
CRM,ADBE,-1.0,2017-10-16 14:30:00+00:00,2017-10-18 14:30:00+00:00,26,0.006354919893019338,1,0.09090909090909091
CRM,ADBE,1.0,2017-10-19 13:30:00+00:00,2017-10-19 14:00:00+00:00,1,0.002659003890614208,1,0.09090909090909091
CRM,ADBE,1.0,2017-10-19 14:30:00+00:00,2017-10-19 15:00:00+00:00,1,-0.0031929014144977093,1,0.09090909090909091
CRM,ADBE,1.0,2017-10-19 15:30:00+00:00,2017-10-19 16:00:00+00:00,1,-0.0020406748893921664,1,0.09090909090909091
CRM,ADBE,1.0,2017-10-19 16:30:00+00:00,2017-10-25 19:30:00+00:00,58,0.01815065167712822,1,0.09090909090909091
CRM,ADBE,-1.0,2017-11-13 14:30:00+00:00,2017-11-22 14:30:00+00:00,91,-0.002998127915169064,1,0.09090909090909091
