sym_a	sym_b	side	entry_idx	exit_idx	holding_bars	pnl	fold_id	weight
CMS	ED	1.0	2017-07-21 13:30:00+00:00	2017-07-24 13:30:00+00:00	13	-0.00024157640986311206	0	0.125
CMS	ED	1.0	2017-07-28 16:00:00+00:00	2017-08-03 15:00:00+00:00	50	0.0033565554338090106	0	0.125
CMS	ED	-1.0	2017-08-14 13:30:00+00:00	2017-08-24 19:00:00+00:00	115	0.0019346868739909934	0	0.125
DUK	JNJ	1.0	2017-06-22 14:30:00+00:00	2017-07-10 14:30:00+00:00	138	-0.01034830527235436	0	0.125
DUK	JNJ	-1.0	2017-07-26 19:30:00+00:00	2017-08-09 19:30:00+00:00	130	0.0007543917023123338	0	0.125
DUK	JNJ	-1.0	2017-08-24 14:00:00+00:00	2017-08-29 19:30:00+00:00	50	0.0028618137861011017	0	0.125
ACN	CTAS	1.0	2017-06-22 13:30:00+00:00	2017-06-22 14:00:00+00:00	1	-0.0045737379497012304	0	0.125
ACN	CTAS	1.0	2017-06-22 14:30:00+00:00	2017-06-22 15:00:00+00:00	1	0.00682725039379846	0	0.125
ACN	CTAS	1.0	2017-06-22 15:30:00+00:00	2017-06-30 16:00:00+00:00	79	0.0060879764316105174	0	0.125
C	PNC	-1.0	2017-06-29 14:30:00+00:00	2017-07-11 13:30:00+00:00	84	0.013373353637572765	0	0.125
KMB	MKC	-1.0	2017-06-16 13:30:00+00:00	2017-06-16 14:00:00+00:00	1	-0.001264768561453277	0	0.125
KMB	MKC	-1.0	2017-06-16 14:30:00+00:00	2017-06-16 15:00:00+00:00	1	0.0011023819802699754	0	0.125
KMB	MKC	-1.0	2017-06-16 15:30:00+00:00	2017-07-07 13:30:00+00:00	173	-0.020917432980560625	0	0.125
KMB	MKC	-1.0	2017-07-19 14:30:00+00:00	2017-07-24 18:30:00+00:00	47	0.011293690577073232	0	0.125
BAX	PEP	1.0	2017-06-12 14:00:00+00:00	2017-06-19 13:30:00+00:00	64	-0.00738932711782612	0	0.125
BAX	PEP	-1.0	2017-07-11 13:30:00+00:00	2017-07-20 14:30:00+00:00	93	-0.00210150676665213	0	0.125
BAX	PEP	1.0	2017-07-26 13:30:00+00:00	2017-08-09 15:00:00+00:00	133	-0.0035680040842818533	0	0.125
BAX	PEP	1.0	2017-08-14 17:00:00+00:00	2017-08-18 13:30:00+00:00	45	0.0009023107243386825	0	0.125
BAX	PEP	-1.0	2017-08-22 17:00:00+00:00	2017-08-29 19:30:00+00:00	70	-0.00907204945065714	0	0.125
PPL	XEL	1.0	2017-06-21 14:00:00+00:00	2017-06-21 19:30:00+00:00	11	0.003571137699353732	0	0.125
PPL	XEL	-1.0	2017-06-29 14:00:00+00:00	2017-07-07 14:00:00+00:00	60	0.00439400275722206	0	0.125
PPL	XEL	1.0	2017-07-14 14:30:00+00:00	2017-07-19 14:00:00+00:00	38	0.0017421472805070957	0	0.125
AEP	DUK	1.0	2017-06-12 13:30:00+00:00	2017-06-20 14:00:00+00:00	79	-9.122043904277922e-05	0	0.125
AEP	DUK	-1.0	2017-06-21 14:30:00+00:00	2017-06-22 16:00:00+00:00	16	0.001982957107977129	0	0.125
AEP	DUK	1.0	2017-07-12 14:30:00+00:00	2017-07-21 15:00:00+00:00	92	-0.010114754136653907	0	0.125
AEP	DUK	-1.0	2017-07-27 13:30:00+00:00	2017-07-27 14:00:00+00:00	1	-0.0002909961682767858	0	0.125
AEP	DUK	-1.0	2017-07-27 14:30:00+00:00	2017-08-01 13:30:00+00:00	37	-0.00018873991337981367	0	0.125
AEP	DUK	1.0	2017-08-04 14:30:00+00:00	2017-08-07 18:00:00+00:00	20	0.004303965307059426	0	0.125
AEP	DUK	-1.0	2017-08-16 13:30:00+00:00	2017-08-25 16:00:00+00:00	96	-0.004479215344685377	0	0.125
ADBE	V	1.0	2017-09-20 13:30:00+00:00	2017-10-10 15:30:00+00:00	186	0.0027837756852637997	1	0.16666666666666666
ADBE	V	1.0	2017-10-16 18:00:00+00:00	2017-10-18 15:30:00+00:00	21	0.014117286098259378	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 13:30:00+00:00	2017-10-19 14:00:00+00:00	1	-0.00027705685878309794	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 14:30:00+00:00	2017-10-19 15:00:00+00:00	1	-0.0038197317399956735	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 15:30:00+00:00	2017-10-19 16:00:00+00:00	1	-0.001778672344909857	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 16:30:00+00:00	2017-10-19 17:00:00+00:00	1	-0.0004660441706411232	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 17:30:00+00:00	2017-10-19 18:00:00+00:00	1	-0.004289965273582149	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 18:30:00+00:00	2017-10-19 19:00:00+00:00	1	-0.0007129305900466668	1	0.16666666666666666
ADBE	V	-1.0	2017-10-19 19:30:00+00:00	2017-10-20 13:30:00+00:00	1	-0.001	1	0.16666666666666666
ADBE	V	-1.0	2017-10-20 14:00:00+00:00	2017-10-20 14:30:00+00:00	1	-0.0019558666340009695	1	0.16666666666666666
ADBE	V	-1.0	2017-10-20 15:00:00+00:00	2017-11-06 19:00:00+00:00	149	-0.0030132578187823575	1	0.16666666666666666
ADBE	V	-1.0	2017-11-17 16:00:00+00:00	2017-11-24 16:30:00+00:00	53	-0.0028601517190703627	1	0.16666666666666666
JPM	PNC	1.0	2017-09-14 14:00:00+00:00	2017-09-19 17:30:00+00:00	46	-0.0024272362614043224	1	0.16666666666666666
JPM	PNC	-1.0	2017-10-03 13:30:00+00:00	2017-10-05 13:30:00+00:00	26	-0.0007187601771248487	1	0.16666666666666666
