fold_id	train_start	train_end	test_start	test_end	sharpe_annualized	return_total	return_annualized	max_drawdown	hit_rate_bars	n_bars	turnover_annualized	turnover_per_bar	n_trades	trade_win_rate	avg_holding_bars	avg_trade_pnl	n_active_pairs
0	2016-06-01	2017-05-31	2017-06-01	2017-08-29	2.813190	0.004946	0.018498	-0.002811	0.517799	814	25.261916	0.008354	34	0.588235	47.029412	0.001850	10.000000
1	2016-08-30	2017-08-29	2017-08-30	2017-11-28	-2.795650	-0.007807	-0.028695	-0.009655	0.483533	814	30.462899	0.010074	41	0.439024	68.731707	-0.001518	10.000000
2	2016-11-29	2017-11-28	2017-11-29	2018-03-01	2.180983	0.008013	0.029907	-0.004145	0.500722	819	30.624434	0.010127	73	0.602740	50.397260	0.002268	17.000000
3	2017-03-02	2018-03-01	2018-03-02	2018-05-31	-1.013252	-0.004496	-0.016500	-0.011923	0.493017	819	37.384615	0.012363	41	0.512195	56.707317	-0.000458	8.000000
4	2017-06-01	2018-05-31	2018-06-01	2018-08-29	-2.302049	-0.012397	-0.045287	-0.014184	0.493443	814	34.054054	0.011261	29	0.482759	67.896552	-0.002259	6.000000
5	2017-08-30	2018-08-29	2018-08-30	2018-11-28	-3.505037	-0.017743	-0.064344	-0.020635	0.497015	814	26.933661	0.008907	44	0.454545	74.840909	-0.004494	12.000000
6	2017-11-29	2018-11-28	2018-11-29	2019-03-04	1.058853	0.003655	0.013647	-0.005767	0.524425	814	30.250614	0.010004	59	0.576271	52.033898	0.001227	14.000000
7	2018-03-02	2019-03-04	2019-03-05	2019-06-03	0.254713	0.000705	0.002605	-0.007121	0.478261	819	33.230769	0.010989	27	0.629630	52.740741	0.000660	6.000000
8	2018-06-01	2019-06-03	2019-06-04	2019-08-30	-1.977600	-0.005538	-0.020418	-0.008256	0.475969	814	41.329238	0.013667	47	0.468085	45.234043	-0.000645	8.000000
9	2018-08-30	2019-08-30	2019-09-03	2019-11-29	-2.130249	-0.009177	-0.033670	-0.015583	0.472674	814	25.667188	0.008488	39	0.435897	73.205128	-0.002129	11.000000
10	2018-11-29	2019-11-29	2019-12-02	2020-03-03	1.943519	0.007510	0.028185	-0.005807	0.519403	814	37.149877	0.012285	52	0.557692	43.153846	0.001733	10.000000
11	2019-03-05	2020-03-03	2020-03-04	2020-06-02	4.718179	0.059043	0.235917	-0.018805	0.524366	819	21.046154	0.006960	31	0.677419	44.451613	0.018966	10.000000
12	2019-06-04	2020-06-02	2020-06-03	2020-08-31	1.584572	0.008003	0.029871	-0.008041	0.516788	819	25.846154	0.008547	51	0.549020	71.431373	0.002623	14.000000
13	2019-09-03	2020-08-31	2020-09-01	2020-11-30	-1.629896	-0.007956	-0.029239	-0.013211	0.488308	814	38.578719	0.012758	70	0.385714	49.657143	-0.001140	13.000000
14	2019-12-02	2020-11-30	2020-12-01	2021-03-03	1.876364	0.005781	0.021644	-0.003647	0.486364	814	42.103194	0.013923	70	0.542857	37.800000	0.001327	12.000000
15	2020-03-04	2021-03-03	2021-03-04	2021-06-02	1.897773	0.006038	0.022475	-0.003867	0.481172	819	39.746606	0.013144	95	0.547368	43.578947	0.001417	17.000000
16	2020-06-03	2021-06-02	2021-06-03	2021-08-31	-2.232367	-0.005364	-0.019664	-0.007989	0.471976	819	29.292308	0.009687	63	0.507937	60.047619	-0.000921	15.000000
17	2020-09-01	2021-08-31	2021-09-01	2021-11-30	1.667042	0.005098	0.019072	-0.005697	0.521552	814	33.772616	0.011168	52	0.576923	43.980769	0.001387	11.000000
18	2020-12-01	2021-11-30	2021-12-01	2022-03-02	-2.706100	-0.012059	-0.043809	-0.018073	0.490323	819	32.000000	0.010582	41	0.487805	53.195122	-0.002350	9.000000
19	2021-03-04	2022-03-02	2022-03-03	2022-06-01	-1.776833	-0.007458	-0.027261	-0.012387	0.474852	819	25.846154	0.008547	44	0.568182	56.886364	-0.001669	12.000000
20	2021-06-03	2022-06-01	2022-06-02	2022-08-31	-2.102243	-0.008517	-0.031087	-0.013091	0.496038	819	22.461538	0.007428	37	0.540541	73.567568	-0.002372	12.000000
21	2021-09-01	2022-08-31	2022-09-01	2022-11-30	-4.570297	-0.023243	-0.083659	-0.025424	0.482595	814	29.719902	0.009828	32	0.437500	67.812500	-0.005570	8.000000
22	2021-12-01	2022-11-30	2022-12-01	2023-03-03	3.246381	0.010856	0.040674	-0.003275	0.528771	819	29.307692	0.009692	64	0.515625	53.859375	0.003025	16.000000
23	2022-03-03	2023-03-03	2023-03-06	2023-06-02	0.090681	0.000373	0.001378	-0.011745	0.471429	819	32.094675	0.010613	59	0.711864	52.118644	0.000438	13.000000
24	2022-06-02	2023-06-02	2023-06-05	2023-09-01	-0.203736	-0.001211	-0.004491	-0.009026	0.466863	814	24.147420	0.007985	42	0.476190	66.452381	0.000016	12.000000
25	2022-09-01	2023-09-01	2023-09-05	2023-12-01	1.448349	0.005530	0.020699	-0.004326	0.481032	814	25.433377	0.008411	45	0.577778	61.711111	0.002012	13.000000
26	2022-12-01	2023-12-01	2023-12-04	2024-03-05	-0.020917	-0.000100	-0.000367	-0.009553	0.501433	819	37.140271	0.012282	88	0.545455	53.238636	0.000309	17.000000
27	2023-03-06	2024-03-05	2024-03-06	2024-06-04	-3.517694	-0.009945	-0.036231	-0.013332	0.464226	819	19.938462	0.006593	29	0.379310	75.172414	-0.003096	10.000000
28	2023-06-05	2024-06-04	2024-06-05	2024-09-04	-1.869309	-0.009089	-0.033351	-0.013743	0.466154	814	28.233907	0.009337	40	0.375000	82.950000	-0.001884	10.000000
29	2023-09-05	2024-09-04	2024-09-05	2024-12-03	-0.629966	-0.001849	-0.006851	-0.006215	0.502196	814	34.466830	0.011398	84	0.464286	64.392857	-0.000072	18.000000
30	2023-12-04	2024-12-03	2024-12-04	2025-03-07	3.742336	0.014017	0.053071	-0.005033	0.505034	814	27.490909	0.009091	39	0.692308	49.307692	0.003948	10.000000
31	2024-03-06	2025-03-07	2025-03-10	2025-06-06	1.440336	0.013244	0.049780	-0.011329	0.513017	819	27.692308	0.009158	45	0.533333	53.733333	0.003928	12.000000
32	2024-06-05	2025-06-06	2025-06-09	2025-09-08	-0.738939	-0.002945	-0.010898	-0.013381	0.480663	814	20.432432	0.006757	24	0.458333	70.583333	-0.000640	8.000000
33	2024-09-05	2025-09-08	2025-09-09	2025-12-05	0.292564	0.001131	0.004209	-0.006334	0.515602	814	39.007371	0.012899	43	0.534884	49.348837	0.000588	8.000000
