sym_a	sym_b	side	entry_idx	exit_idx	holding_bars	pnl	fold_id	weight
CMS	ED	1.0	2017-07-21 13:30:00+00:00	2017-07-24 13:30:00+00:00	13	-0.00024157640986311206	0	0.1
CMS	ED	1.0	2017-07-28 16:00:00+00:00	2017-08-03 15:00:00+00:00	50	0.0033565554338090106	0	0.1
CMS	ED	-1.0	2017-08-14 13:30:00+00:00	2017-08-24 19:00:00+00:00	115	0.0019346868739909934	0	0.1
LNT	NI	-1.0	2017-06-14 13:30:00+00:00	2017-06-21 17:30:00+00:00	73	0.0018985920025719866	0	0.1
LNT	NI	1.0	2017-06-30 14:00:00+00:00	2017-07-18 14:30:00+00:00	139	-0.005019080402172801	0	0.1
BAC	RF	-1.0	2017-06-23 18:30:00+00:00	2017-06-29 14:00:00+00:00	43	-8.317698132223779e-06	0	0.1
BAC	RF	1.0	2017-07-17 18:00:00+00:00	2017-07-19 13:30:00+00:00	17	0.0036887808524482557	0	0.1
ED	NI	-1.0	2017-06-16 14:00:00+00:00	2017-06-26 15:30:00+00:00	81	0.005286904485168154	0	0.1
ED	NI	1.0	2017-07-26 15:30:00+00:00	2017-07-27 19:30:00+00:00	21	0.0065247424689035705	0	0.1
ED	NI	-1.0	2017-08-08 19:30:00+00:00	2017-08-11 15:00:00+00:00	30	0.0011008005996838047	0	0.1
CFG	RF	1.0	2017-06-23 14:30:00+00:00	2017-06-23 18:00:00+00:00	7	0.006874687998031641	0	0.1
CFG	RF	1.0	2017-06-29 13:30:00+00:00	2017-06-29 14:00:00+00:00	1	-0.004221406822077439	0	0.1
CFG	RF	1.0	2017-06-29 14:30:00+00:00	2017-06-29 15:00:00+00:00	1	-0.0022339759357703046	0	0.1
CFG	RF	1.0	2017-06-29 15:30:00+00:00	2017-06-29 16:00:00+00:00	1	2.5495779915543984e-05	0	0.1
CFG	RF	1.0	2017-06-29 16:30:00+00:00	2017-06-29 17:00:00+00:00	1	-0.0017532939582435617	0	0.1
CFG	RF	1.0	2017-06-29 17:30:00+00:00	2017-06-29 18:00:00+00:00	1	-0.0015418690907896475	0	0.1
CFG	RF	1.0	2017-06-29 18:30:00+00:00	2017-07-06 16:30:00+00:00	43	0.008103735293112608	0	0.1
CFG	RF	1.0	2017-07-31 13:30:00+00:00	2017-08-14 13:30:00+00:00	130	-0.001965569808485013	0	0.1
CFG	RF	1.0	2017-08-22 14:30:00+00:00	2017-08-24 19:30:00+00:00	36	0.003991390313625984	0	0.1
C	PNC	-1.0	2017-06-29 14:30:00+00:00	2017-07-11 13:30:00+00:00	84	0.013373353637572765	0	0.1
CMS	NEE	1.0	2017-07-26 13:30:00+00:00	2017-07-27 18:00:00+00:00	22	0.0034323697081860088	0	0.1
CMS	NEE	1.0	2017-07-28 16:30:00+00:00	2017-08-04 16:00:00+00:00	64	0.011711289146802847	0	0.1
C	MS	-1.0	2017-06-28 13:30:00+00:00	2017-06-29 14:00:00+00:00	14	-0.00402017150967391	0	0.1
C	MS	-1.0	2017-06-29 14:30:00+00:00	2017-07-19 13:30:00+00:00	162	0.011766739011724675	0	0.1
PPL	XEL	1.0	2017-06-21 14:00:00+00:00	2017-06-21 19:30:00+00:00	11	0.003571137699353732	0	0.1
PPL	XEL	-1.0	2017-06-29 14:00:00+00:00	2017-07-07 14:00:00+00:00	60	0.00439400275722206	0	0.1
PPL	XEL	1.0	2017-07-14 14:30:00+00:00	2017-07-19 14:00:00+00:00	38	0.0017421472805070957	0	0.1
AEP	DUK	1.0	2017-06-12 13:30:00+00:00	2017-06-20 14:00:00+00:00	79	-9.122043904277922e-05	0	0.1
AEP	DUK	-1.0	2017-06-21 14:30:00+00:00	2017-06-22 16:00:00+00:00	16	0.001982957107977129	0	0.1
AEP	DUK	1.0	2017-07-12 14:30:00+00:00	2017-07-21 15:00:00+00:00	92	-0.010114754136653907	0	0.1
AEP	DUK	-1.0	2017-07-27 13:30:00+00:00	2017-07-27 14:00:00+00:00	1	-0.0002909961682767858	0	0.1
AEP	DUK	-1.0	2017-07-27 14:30:00+00:00	2017-08-01 13:30:00+00:00	37	-0.00018873991337981367	0	0.1
AEP	DUK	1.0	2017-08-04 14:30:00+00:00	2017-08-07 18:00:00+00:00	20	0.004303965307059426	0	0.1
AEP	DUK	-1.0	2017-08-16 13:30:00+00:00	2017-08-25 16:00:00+00:00	96	-0.004479215344685377	0	0.1
CMS	NEE	1.0	2017-09-14 13:30:00+00:00	2017-10-10 14:30:00+00:00	236	0.00612865419439571	1	0.1
CMS	NEE	-1.0	2017-11-02 16:00:00+00:00	2017-11-03 14:00:00+00:00	9	-0.008872161393093207	1	0.1
CMS	NEE	-1.0	2017-11-03 14:30:00+00:00	2017-11-07 15:00:00+00:00	25	0.008323145818860116	1	0.1
