fold_id	train_start	train_end	test_start	test_end	sharpe_annualized	return_total	return_annualized	max_drawdown	hit_rate_bars	n_bars	turnover_annualized	turnover_per_bar	n_trades	trade_win_rate	avg_holding_bars	avg_trade_pnl	n_active_pairs
0	2016-06-01	2017-05-31	2017-06-01	2017-08-29	-2.850824	-0.018456	-0.066863	-0.022955	0.484932	814	24.147420	0.007985	7.000000	0.571429	60.571429	-0.004871	2.000000
1	2016-08-30	2017-08-29	2017-08-30	2017-11-28	0.062241	0.000503	0.001871	-0.036062	0.498567	814	32.196560	0.010647	13.000000	0.615385	32.769231	0.000503	3.000000
2	2016-11-29	2017-11-28	2017-11-29	2018-03-01	1.560954	0.017448	0.065950	-0.017231	0.496970	819	29.538462	0.009768	8.000000	0.750000	45.125000	0.004882	2.000000
3	2017-03-02	2018-03-01	2018-03-02	2018-05-31	1.131510	0.016503	0.062299	-0.021172	0.518359	819	53.538462	0.017705	15.000000	0.466667	33.733333	0.002470	2.000000
4	2017-06-01	2018-05-31	2018-06-01	2018-08-29	3.054713	0.047088	0.186418	-0.028662	0.513566	814	41.607862	0.013759	29.000000	0.655172	39.965517	0.008283	5.000000
5	2017-08-30	2018-08-29	2018-08-30	2018-11-28	-0.816823	-0.019146	-0.069299	-0.053316	0.442589	814	26.004914	0.008600	14.000000	0.285714	65.928571	-0.004934	4.000000
6	2017-11-29	2018-11-28	2018-11-29	2019-03-04	-0.423113	-0.007896	-0.029021	-0.035462	0.504092	814	24.766585	0.008190	22.000000	0.500000	75.863636	-0.001690	6.000000
7	2018-03-02	2019-03-04	2019-03-05	2019-06-03	-1.330765	-0.009007	-0.032854	-0.027781	0.508163	819	24.000000	0.007937	13.000000	0.461538	68.076923	-0.002450	4.000000
8	2018-06-01	2019-06-03	2019-06-04	2019-08-30	-2.153996	-0.042911	-0.150354	-0.057219	0.468560	814	39.007371	0.012899	22.000000	0.181818	39.227273	-0.007657	4.000000
9	2018-08-30	2019-08-30	2019-09-03	2019-11-29	1.854489	0.016002	0.060751	-0.009489	0.496711	814	14.859951	0.004914	4.000000	0.750000	140.750000	0.008507	2.000000
10	2018-11-29	2019-11-29	2019-12-02	2020-03-03	3.775308	0.136824	0.610273	-0.023059	0.478873	814	44.579853	0.014742	12.000000	0.666667	40.916667	0.021993	2.000000
11	2019-03-05	2020-03-03	2020-03-04	2020-06-02	0.000000	0.000000	0.000000	0.000000	0.000000	819	0.000000	0.000000					0.000000
12	2019-06-04	2020-06-02	2020-06-03	2020-08-31	-1.469904	-0.132358	-0.407983	-0.212403	0.431973	819	33.230769	0.010989	5.000000	0.400000	63.200000	-0.025490	1.000000
13	2019-09-03	2020-08-31	2020-09-01	2020-11-30	-0.084507	-0.001658	-0.006145	-0.023690	0.476793	814	22.289926	0.007371	3.000000	0.666667	84.666667	0.000083	1.000000
14	2019-12-02	2020-11-30	2020-12-01	2021-03-03	-3.392029	-0.045698	-0.159510	-0.055780	0.464348	814	33.434889	0.011057	25.000000	0.320000	56.280000	-0.009045	5.000000
15	2020-03-04	2021-03-03	2021-03-04	2021-06-02	0.175782	0.001666	0.006164	-0.027910	0.506446	819	33.230769	0.010989	19.000000	0.473684	47.000000	0.000658	4.000000
16	2020-06-03	2021-06-02	2021-06-03	2021-08-31	-2.152542	-0.039289	-0.137562	-0.052004	0.474157	819	38.769231	0.012821	11.000000	0.181818	58.454545	-0.006993	2.000000
17	2020-09-01	2021-08-31	2021-09-01	2021-11-30	5.459637	0.059399	0.239071	-0.011174	0.546828	814	25.385749	0.008395	22.000000	0.727273	83.363636	0.016158	6.000000
18	2020-12-01	2021-11-30	2021-12-01	2022-03-02	3.822269	0.079374	0.325810	-0.019960	0.518950	819	33.969231	0.011233	25.000000	0.680000	53.840000	0.015727	5.000000
19	2021-03-04	2022-03-02	2022-03-03	2022-06-01	0.293497	0.005345	0.019877	-0.037531	0.472081	819	16.615385	0.005495	11.000000	0.636364	70.181818	0.002549	4.000000
20	2021-06-03	2022-06-01	2022-06-02	2022-08-31	1.854250	0.041369	0.161453	-0.031124	0.491629	819	35.076923	0.011600	39.000000	0.692308	53.538462	0.008940	8.000000
21	2021-09-01	2022-08-31	2022-09-01	2022-11-30	0.768299	0.012253	0.046281	-0.023214	0.478555	814	33.434889	0.011057	27.000000	0.518519	32.592593	0.003170	6.000000
22	2021-12-01	2022-11-30	2022-12-01	2023-03-03	2.983656	0.053369	0.211641	-0.021098	0.524038	819	23.794872	0.007869	30.000000	0.566667	67.300000	0.016070	9.000000
23	2022-03-03	2023-03-03	2023-03-06	2023-06-02	3.065430	0.050154	0.198044	-0.017387	0.527514	819	21.098901	0.006977	21.000000	0.666667	73.761905	0.016806	7.000000
24	2022-06-02	2023-06-02	2023-06-05	2023-09-01	-0.156536	-0.004399	-0.016244	-0.036806	0.432432	814	26.004914	0.008600	4.000000	0.750000	49.000000	-0.000622	1.000000
25	2022-09-01	2023-09-01	2023-09-05	2023-12-01	1.542102	0.015846	0.060144	-0.014620	0.512324	814	18.574939	0.006143	11.000000	0.727273	100.545455	0.006152	4.000000
26	2022-12-01	2023-12-01	2023-12-04	2024-03-05	0.144218	0.000964	0.003565	-0.010996	0.495430	819	39.876923	0.013187	29.000000	0.344828	37.655172	0.000339	5.000000
27	2023-03-06	2024-03-05	2024-03-06	2024-06-04	-0.517704	-0.009800	-0.035710	-0.054703	0.468220	819	16.615385	0.005495	9.000000	0.666667	72.444444	-0.003616	4.000000
28	2023-06-05	2024-06-04	2024-06-05	2024-09-04	0.616060	0.009685	0.036454	-0.018064	0.460741	814	32.691892	0.010811	23.000000	0.391304	54.695652	0.002444	5.000000
29	2023-09-05	2024-09-04	2024-09-05	2024-12-03	-1.339770	-0.014497	-0.052805	-0.021216	0.467337	814	20.432432	0.006757	12.000000	0.416667	120.500000	-0.004463	4.000000
30	2023-12-04	2024-12-03	2024-12-04	2025-03-07	-0.886627	-0.015337	-0.055801	-0.040829	0.468193	814	31.577396	0.010442	9.000000	0.444444	55.000000	-0.003095	2.000000
31	2024-03-06	2025-03-07	2025-03-10	2025-06-06	0.313934	0.011811	0.044307	-0.076280	0.474194	819	96.000000	0.031746	13.000000	0.384615	24.692308	0.001452	1.000000
32	2024-06-05	2025-06-06	2025-06-09	2025-09-08	-2.260735	-0.047299	-0.164735	-0.060487	0.430380	814	26.004914	0.008600	12.000000	0.416667	36.583333	-0.011574	3.000000
33	2024-09-05	2025-09-08	2025-09-09	2025-12-05	1.285569	0.052136	0.207803	-0.076004	0.472172	814	60.678133	0.020066	25.000000	0.440000	35.200000	0.006691	3.000000
