sym_a	sym_b	side	entry_idx	exit_idx	holding_bars	pnl	fold_id	weight
ELS	LNT	1.0	2017-06-16 19:30:00+00:00	2017-06-19 16:00:00+00:00	6	0.0012194783416180697	0	0.5
ELS	LNT	-1.0	2017-06-23 16:00:00+00:00	2017-06-26 14:00:00+00:00	9	0.0016029927421588137	0	0.5
ELS	LNT	-1.0	2017-06-29 14:00:00+00:00	2017-07-12 14:00:00+00:00	99	-0.0167691242986476	0	0.5
ELS	LNT	1.0	2017-07-21 14:00:00+00:00	2017-07-25 18:30:00+00:00	35	0.0005244932492955222	0	0.5
ELS	LNT	1.0	2017-08-07 13:30:00+00:00	2017-08-17 16:00:00+00:00	109	-0.007940220977567377	0	0.5
ELS	LNT	1.0	2017-08-24 14:00:00+00:00	2017-08-29 19:30:00+00:00	50	0.001975864094915432	0	0.5
UGI	WDC	-1.0	2017-07-21 14:00:00+00:00	2017-08-03 13:30:00+00:00	116	-0.014712242484213269	0	0.5
BAC	EMN	-1.0	2017-09-14 13:30:00+00:00	2017-09-20 13:30:00+00:00	52	0.008702478490159819	1	0.3333333333333333
BAC	EMN	1.0	2017-11-13 18:30:00+00:00	2017-11-15 14:30:00+00:00	18	-0.003188673907528343	1	0.3333333333333333
MNKD	NEE	-1.0	2017-09-13 13:30:00+00:00	2017-09-19 16:30:00+00:00	58	0.02915297503826166	1	0.3333333333333333
MNKD	NEE	-1.0	2017-10-02 15:30:00+00:00	2017-10-03 17:00:00+00:00	16	-0.03442129373233219	1	0.3333333333333333
MNKD	NEE	-1.0	2017-10-03 17:30:00+00:00	2017-10-04 13:30:00+00:00	5	0.006282986717640309	1	0.3333333333333333
MNKD	NEE	-1.0	2017-10-04 14:00:00+00:00	2017-10-05 14:00:00+00:00	13	-0.03262875162735208	1	0.3333333333333333
MNKD	NEE	-1.0	2017-10-05 14:30:00+00:00	2017-10-05 15:00:00+00:00	1	-0.03706995792872597	1	0.3333333333333333
MNKD	NEE	-1.0	2017-10-05 15:30:00+00:00	2017-10-05 16:00:00+00:00	1	0.030237181192613087	1	0.3333333333333333
MNKD	NEE	-1.0	2017-10-05 16:30:00+00:00	2017-10-17 17:30:00+00:00	106	0.03253745765858291	1	0.3333333333333333
BCE	NOMD	1.0	2017-09-14 13:30:00+00:00	2017-09-15 14:30:00+00:00	15	0.008828802112805222	1	0.3333333333333333
BCE	NOMD	1.0	2017-09-26 14:00:00+00:00	2017-09-28 17:30:00+00:00	33	0.007120878386944477	1	0.3333333333333333
BCE	NOMD	-1.0	2017-10-18 14:00:00+00:00	2017-10-20 15:00:00+00:00	28	0.0018645207940807436	1	0.3333333333333333
BCE	NOMD	1.0	2017-10-25 14:00:00+00:00	2017-11-02 15:00:00+00:00	80	-0.010875128530657502	1	0.3333333333333333
MT	STZ	1.0	2017-12-14 16:00:00+00:00	2017-12-21 16:30:00+00:00	66	0.007722929798071092	2	0.5
MT	STZ	-1.0	2018-01-05 14:30:00+00:00	2018-01-23 19:30:00+00:00	153	-0.006180679273889173	2	0.5
MT	STZ	-1.0	2018-02-08 20:30:00+00:00	2018-02-12 14:30:00+00:00	14	-0.004209539969553064	2	0.5
MT	STZ	-1.0	2018-02-14 16:00:00+00:00	2018-02-15 18:00:00+00:00	17	0.01620469675130552	2	0.5
AQN	CAI	-1.0	2017-12-26 14:30:00+00:00	2018-01-02 19:00:00+00:00	61	0.0032691956901579025	2	0.5
AQN	CAI	1.0	2018-01-04 15:00:00+00:00	2018-01-05 15:30:00+00:00	14	0.0014572950499075546	2	0.5
AQN	CAI	1.0	2018-02-06 16:30:00+00:00	2018-02-07 15:00:00+00:00	10	0.013922236437200291	2	0.5
AQN	CAI	1.0	2018-02-13 14:30:00+00:00	2018-02-15 14:30:00+00:00	26	0.006873154141685973	2	0.5
CP	PNR	1.0	2018-03-15 15:00:00+00:00	2018-03-22 19:30:00+00:00	74	0.017032451956757514	3	0.5
CP	PNR	1.0	2018-04-19 14:00:00+00:00	2018-04-23 14:00:00+00:00	26	0.01086157332361205	3	0.5
CP	PNR	-1.0	2018-04-24 15:30:00+00:00	2018-05-01 13:30:00+00:00	61	-0.0008426218387487141	3	0.5
CP	PNR	-1.0	2018-05-01 14:00:00+00:00	2018-05-01 14:30:00+00:00	1	-0.006442850386375702	3	0.5
CP	PNR	-1.0	2018-05-01 15:00:00+00:00	2018-05-01 15:30:00+00:00	1	-0.0007544619469649629	3	0.5
CP	PNR	-1.0	2018-05-01 16:00:00+00:00	2018-05-01 16:30:00+00:00	1	-0.008834791544593143	3	0.5
CP	PNR	-1.0	2018-05-01 17:00:00+00:00	2018-05-01 17:30:00+00:00	1	0.001266007210479354	3	0.5
CP	PNR	-1.0	2018-05-01 18:00:00+00:00	2018-05-16 14:00:00+00:00	135	0.011200960490313452	3	0.5
CP	PNR	-1.0	2018-05-31 14:00:00+00:00	2018-05-31 19:30:00+00:00	11	-0.0038861351197823535	3	0.5
LION	VKTX	1.0	2018-03-22 18:30:00+00:00	2018-03-23 13:30:00+00:00	3	-0.010461295722493009	3	0.5
LION	VKTX	1.0	2018-03-23 14:00:00+00:00	2018-03-23 15:00:00+00:00	2	-0.006367423976217366	3	0.5
LION	VKTX	1.0	2018-03-23 15:30:00+00:00	2018-03-29 14:00:00+00:00	49	0.00759762923717735	3	0.5
LION	VKTX	1.0	2018-04-02 16:00:00+00:00	2018-04-04 16:00:00+00:00	26	0.02239442772889485	3	0.5
LION	VKTX	1.0	2018-05-01 13:30:00+00:00	2018-05-02 15:00:00+00:00	16	0.02878116901070818	3	0.5
LION	VKTX	-1.0	2018-05-16 16:00:00+00:00	2018-05-29 13:30:00+00:00	99	-0.024498146289698285	3	0.5
CAI	CMS	1.0	2018-06-25 13:30:00+00:00	2018-07-09 18:00:00+00:00	121	0.036580727053086876	4	0.2
CAI	CMS	-1.0	2018-08-01 13:30:00+00:00	2018-08-07 16:30:00+00:00	58	0.03989786476777806	4	0.2
DHT	HAIN	1.0	2018-06-12 16:30:00+00:00	2018-06-14 18:00:00+00:00	29	0.03259934545117857	4	0.2
DHT	HAIN	1.0	2018-06-15 19:00:00+00:00	2018-06-26 14:00:00+00:00	81	-0.0069441951023498875	4	0.2
DHT	HAIN	1.0	2018-07-16 14:00:00+00:00	2018-07-18 17:00:00+00:00	32	0.025429390580760342	4	0.2
DHT	HAIN	1.0	2018-07-24 13:30:00+00:00	2018-08-02 16:00:00+00:00	96	0.01684473112219827	4	0.2
DHT	HAIN	-1.0	2018-08-08 15:30:00+00:00	2018-08-09 19:00:00+00:00	20	0.031096847252220686	4	0.2
DHT	HAIN	1.0	2018-08-15 13:30:00+00:00	2018-08-17 13:30:00+00:00	26	0.007095775281948796	4	0.2
OTEX	STX	-1.0	2018-06-12 15:00:00+00:00	2018-06-14 18:00:00+00:00	32	0.018936678902151453	4	0.2
OTEX	STX	-1.0	2018-07-06 13:30:00+00:00	2018-07-17 14:00:00+00:00	92	-0.026804444449258637	4	0.2
OTEX	STX	-1.0	2018-08-03 13:30:00+00:00	2018-08-03 14:00:00+00:00	1	0.006545993357636504	4	0.2
OTEX	STX	-1.0	2018-08-03 14:30:00+00:00	2018-08-07 15:00:00+00:00	27	0.03219056227230629	4	0.2
OTEX	STX	-1.0	2018-08-29 14:00:00+00:00	2018-08-29 19:30:00+00:00	11	0.00016541197210789035	4	0.2
DHT	OXLC	1.0	2018-06-12 18:00:00+00:00	2018-06-14 16:00:00+00:00	22	0.029533517104867898	4	0.2
DHT	OXLC	1.0	2018-06-15 19:00:00+00:00	2018-07-02 13:30:00+00:00	132	0.004824376416863285	4	0.2
DHT	OXLC	1.0	2018-07-16 13:30:00+00:00	2018-07-19 13:30:00+00:00	39	0.0039022826027571727	4	0.2
DHT	OXLC	1.0	2018-08-15 13:30:00+00:00	2018-08-17 13:30:00+00:00	26	0.007396012882210439	4	0.2
CG	STT	-1.0	2018-07-03 13:30:00+00:00	2018-07-03 14:00:00+00:00	1	-0.004440057322743657	4	0.2
CG	STT	-1.0	2018-07-03 14:30:00+00:00	2018-07-05 13:30:00+00:00	6	-0.006814172114661836	4	0.2
CG	STT	-1.0	2018-07-05 14:00:00+00:00	2018-07-05 14:30:00+00:00	1	-0.0019245892771306583	4	0.2
CG	STT	-1.0	2018-07-05 15:00:00+00:00	2018-07-05 15:30:00+00:00	1	-0.0020092283639114995	4	0.2
CG	STT	-1.0	2018-07-05 16:00:00+00:00	2018-07-05 16:30:00+00:00	1	-0.0043980425340588835	4	0.2
CG	STT	-1.0	2018-07-05 17:00:00+00:00	2018-07-05 17:30:00+00:00	1	0.0004042509808769761	4	0.2
CG	STT	-1.0	2018-07-05 18:00:00+00:00	2018-07-05 18:30:00+00:00	1	-0.0013314047171308248	4	0.2
CG	STT	-1.0	2018-07-05 19:00:00+00:00	2018-07-05 19:30:00+00:00	1	-0.002747088974754809	4	0.2
CG	STT	-1.0	2018-07-06 13:30:00+00:00	2018-07-06 14:00:00+00:00	1	-0.006989954955312918	4	0.2
CG	STT	-1.0	2018-07-06 14:30:00+00:00	2018-07-06 15:00:00+00:00	1	0.0011784927989033182	4	0.2
CG	STT	-1.0	2018-07-06 15:30:00+00:00	2018-08-07 13:30:00+00:00	282	0.008797127815956596	4	0.2
CG	STT	1.0	2018-08-28 17:30:00+00:00	2018-08-29 19:30:00+00:00	17	0.001199762329224043	4	0.2
FNB	GSIT	-1.0	2018-09-07 19:30:00+00:00	2018-09-10 13:30:00+00:00	1	-0.0005	5	0.25
FNB	GSIT	-1.0	2018-09-10 14:00:00+00:00	2018-09-13 17:00:00+00:00	45	-0.004793561133045476	5	0.25
FNB	GSIT	1.0	2018-09-24 14:00:00+00:00	2018-10-01 17:30:00+00:00	72	-0.02792474103276235	5	0.25
FNB	GSIT	1.0	2018-10-12 14:00:00+00:00	2018-10-12 16:30:00+00:00	5	-0.022594115104927252	5	0.25
FNB	GSIT	1.0	2018-10-12 17:00:00+00:00	2018-10-23 15:00:00+00:00	87	-0.00024674802971322556	5	0.25
FNB	GSIT	1.0	2018-10-26 13:30:00+00:00	2018-10-29 13:30:00+00:00	13	0.027432175691855347	5	0.25
GSIT	ZION	1.0	2018-10-19 15:30:00+00:00	2018-10-24 14:30:00+00:00	37	0.027091909329638255	5	0.25
GSIT	ZION	1.0	2018-10-29 16:00:00+00:00	2018-11-15 19:30:00+00:00	174	-0.02929426545773831	5	0.25
GSIT	MET	1.0	2018-10-18 13:30:00+00:00	2018-10-24 14:30:00+00:00	54	0.00239712755373439	5	0.25
GSIT	MET	1.0	2018-11-09 15:30:00+00:00	2018-11-15 20:30:00+00:00	62	0.017802171219360674	5	0.25
M	OTEX	-1.0	2018-10-04 14:30:00+00:00	2018-10-10 13:30:00+00:00	50	-0.028519867256379648	5	0.25
M	OTEX	-1.0	2018-10-10 14:00:00+00:00	2018-10-10 14:30:00+00:00	1	-0.0016568286623964436	5	0.25
M	OTEX	-1.0	2018-10-10 15:00:00+00:00	2018-10-10 15:30:00+00:00	1	-0.0015449701505853342	5	0.25
